Time [s],Channel 0
92.431089600,0
93.157590880,1
93.175791040,0
93.321560320,1
93.530192320,0
94.328010400,1
94.526957280,0
95.309420480,1
95.466457760,0
95.718592800,1
95.750944800,0
95.944721920,1
95.954997760,0
96.313285600,1
96.436331040,0
97.315903360,1
97.557883040,0
97.848457760,1
97.933468000,0
97.953268800,1
97.991884960,0
98.214655040,1
98.224373120,0
98.316815680,1
98.543766720,0
98.874629280,1
98.899633600,0
99.129485440,1
99.159953280,0
99.172162720,1
99.182054240,0
99.315839840,1
99.556479200,0
99.561968960,1
99.701975040,0
100.250749440,1
100.286807040,0
100.293664800,1
100.302881600,0
100.312863200,1
100.534253600,0
100.539244640,1
100.549895200,0
100.607599840,1
100.699598880,0
101.316547680,1
101.372878400,0
101.486875680,1
101.497602400,0
101.507843200,1
101.547865920,0
102.332758560,1
102.417660160,0
102.425959680,1
102.498124480,0
102.504358400,1
102.515366880,0
102.529091040,1
102.660126560,0
103.319405280,1
103.452163840,0
104.331802400,1
104.842404320,0
105.332197600,1
105.460116320,0
106.333080800,1
106.461588960,0
107.334872800,1
107.442014560,0
108.334248320,1
108.456570080,0
109.332800000,1
109.426576160,0
110.329925600,1
110.446566400,0
111.325263360,1
111.439997760,0
112.333867840,1
112.452069120,0
113.333645280,1
113.438378560,0
114.325400640,1
114.448411360,0
115.323458880,1
115.433226080,0
116.326282240,1
116.454188960,0
117.322480480,1
117.438938400,0
118.320226240,1
118.448527520,0
119.315112160,1
119.453700640,0
119.676245440,1
119.709360480,0
120.314397120,1
120.441978880,0
121.325954720,1
121.445587360,0
121.455490560,1
121.462021760,0
121.524363360,1
121.563992160,0
121.772279200,1
121.788547360,0
122.314917280,1
122.458927360,0
122.499549280,1
122.541259680,0
122.859818080,1
122.886700480,0
122.958710560,1
122.961961440,0
123.098121600,1
123.150882560,0
123.217981280,1
123.502213600,0
123.507820000,1
123.553197280,0
123.584872160,1
123.692528960,0
123.723847200,1
123.771910720,0
123.798416000,1
123.823385120,0
123.991138240,1
124.087921920,0
124.218714720,1
124.228644160,0
124.305548640,1
124.469253920,0
124.940369280,1
124.954971360,0
124.960473280,1
124.968230240,0
125.134623680,1
125.153167040,0
125.321549920,1
125.470260000,0
125.487323680,1
125.509987680,0
125.584718560,1
125.608575200,0
125.756145920,1
125.768390560,0
125.995041920,1
126.012877120,0
126.016375040,1
126.028193280,0
126.183769760,1
126.193464320,0
126.408378240,1
126.540075360,0
126.902436320,1
126.912008320,0
126.923749760,1
126.932892160,0
126.944880480,1
126.950900160,0
127.320002880,1
127.552748480,0
128.066567840,1
128.130820640,0
128.215680480,1
128.230300320,0
128.281021280,1
128.297806880,0
128.309387040,1
128.570943680,0
129.334172160,1
129.455769760,0
130.321223200,1
130.478347360,0
131.328056960,1
131.572913600,0
132.315265760,1
132.463555840,0
133.320300160,1
133.452178080,0
134.320558880,1
134.453587200,0
135.323792480,1
135.429591360,0
136.332596160,1
136.432305920,0
137.324861920,1
137.544687200,0
138.322311680,1
138.542016960,0
139.332754880,1
139.531516160,0
140.317275200,1
140.535506240,0
141.336998720,1
141.434648480,0
142.325891520,1
142.540918080,0
143.324270080,1
143.448082720,0
143.974156640,1
143.979256480,0
144.324645600,1
144.556604960,0
145.320052320,1
145.460206720,0
146.325303360,1
146.564741920,0
146.577494400,1
146.610016480,0
146.860237120,1
146.889936000,0
147.244211040,1
147.289794720,0
147.318959200,1
147.504983520,0
147.546658560,1
147.549280800,0
147.883179680,1
147.905916800,0
148.263140480,1
148.293017920,0
148.315711680,1
148.444728000,0
148.450126240,1
148.560487680,0
148.925753760,1
148.928398240,0
148.982350240,1
149.030227360,0
149.305822400,1
149.454977120,0
149.625772800,1
149.683898240,0
149.783569760,1
149.792020800,0
149.805407520,1
149.812979680,0
150.306868640,1
150.467475200,0
150.515672480,1
150.612399360,0
151.322395200,1
151.448233280,0
151.507901760,1
151.540855520,0
152.359116160,1
152.365226560,0
152.415520000,1
152.461861280,0
153.324791360,1
153.384874080,0
153.403130400,1
153.549748960,0
154.196744640,1
154.201104320,0
154.300535680,1
154.559953280,0
155.332282400,1
155.524714240,0
156.330246240,1
156.451144640,0
157.323309440,1
157.541674240,0
158.340102720,1
158.553197280,0
159.332441440,1
159.633669440,0
160.330371680,1
160.632642560,0
161.328526240,1
161.654541600,0
162.324791840,1
162.622573280,0
163.336425600,1
163.444041280,0
164.334577600,1
164.823289760,0
165.329620800,1
165.436971200,0
166.324130400,1
166.445986400,0
167.323458880,1
167.443698240,0
168.319578720,1
168.441039680,0
169.317963200,1
169.435296320,0
170.313846240,1
170.439353280,0
171.314516640,1
171.436590880,0
171.796841600,1
171.805519360,0
172.313935840,1
172.433605120,0
172.760196800,1
172.778884320,0
173.311738080,1
173.434762080,0
174.089318720,1
174.125025280,0
174.315034240,1
174.474098880,0
174.910911520,1
174.957273120,0
175.119760480,1
175.138996000,0
175.324893760,1
175.462548160,0
175.655064320,1
175.660711520,0
175.730792320,1
175.737975520,0
175.924852320,1
175.939146560,0
176.149967840,1
176.162900000,0
176.319235200,1
176.370522560,0
176.379356480,1
176.394372960,0
176.403786720,1
176.464428160,0
176.686073760,1
176.698573440,0
177.314581280,1
177.467478080,0
177.983834400,1
178.004990240,0
178.292509440,1
178.446291840,0
179.321643360,1
179.443672320,0
180.317256960,1
180.470070080,0
181.326990560,1
181.447992000,0
182.326340640,1
182.438039840,0
183.348760000,1
183.538612160,0
184.321106720,1
184.430330560,0
185.318343680,1
185.438317760,0
186.351333280,1
186.423408480,0
187.333270720,1
187.536478560,0
188.320661120,1
188.523760640,0
189.330000160,1
189.431419360,0
190.330766240,1
190.455165760,0
191.330676960,1
191.538436800,0
192.334570400,1
192.443671200,0
193.324897600,1
193.440027200,0
194.323028800,1
194.439808480,0
195.320231200,1
195.431258240,0
195.454723520,1
195.462723680,0
196.315247200,1
196.462145600,0
197.320776640,1
197.570874080,0
197.848993440,1
197.862652800,0
198.010381920,1
198.033908320,0
198.315243840,1
198.533031520,0
198.550454880,1
198.558781760,0
198.660763360,1
198.692686720,0
199.057293120,1
199.067736800,0
199.185783200,1
199.189124480,0
199.312572800,1
199.535971520,0
199.562064480,1
199.591268000,0
199.648251840,1
199.669642560,0
199.686976640,1
199.717591200,0
199.724954880,1
199.729393120,0
199.927403040,1
199.930137440,0
200.316193600,1
200.552366080,0
200.609514880,1
200.636339200,0
200.642873440,1
200.655850240,0
200.665856320,1
200.673198240,0
200.682903200,1
200.694029920,0
200.702147360,1
200.706364000,0
201.005692000,1
201.009650880,0
201.022363200,1
201.031925120,0
201.324197280,1
201.452633120,0
202.333231040,1
202.592392800,0
202.854399200,1
202.875589920,0
203.251370400,1
203.297390880,0
203.315166080,1
203.338774560,0
203.410960480,1
203.472236160,0
204.085468480,1
204.096007040,0
204.332062240,1
204.550740480,0
205.331589280,1
205.459321440,0
206.319437120,1
206.546369760,0
207.322858400,1
207.441508640,0
208.330130240,1
208.539948480,0
209.338854560,1
209.432624000,0
210.336543040,1
210.532028320,0
211.320975840,1
211.528501280,0
212.323981760,1
212.544232320,0
213.324941120,1
213.423257440,0
214.320268000,1
214.426372800,0
215.322864800,1
215.462135840,0
216.332515520,1
216.443684480,0
217.316025440,1
217.542396320,0
218.315800640,1
218.524296960,0
219.318962240,1
219.638916000,0
220.324100320,1
220.663237600,0
221.327563520,1
221.359860480,0
221.629818560,1
221.693780000,0
221.700905600,1
221.862559200,0
221.921833920,1
221.987300480,0
222.098226880,1
222.192112640,0
222.202422880,1
222.272586080,0
222.616768960,1
222.780200640,0
222.802076320,1
222.974505440,0
223.022294880,1
223.075477600,0
223.421703200,1
223.549239200,0
223.733033920,1
223.750650400,0
224.810994240,1
224.838733440,0
225.422668640,1
225.439036320,0
225.442776800,1
225.454317760,0
225.790720320,1
225.796763680,0
226.284810400,1
226.318209920,0
226.426150560,1
227.457499040,0
227.468538720,1
227.471373440,0
228.320014400,1
228.456481760,0
229.320179360,1
229.436141120,0
230.188141440,1
230.212381120,0
230.326990080,1
230.456702400,0
231.315560160,1
231.495708640,0
231.527065600,1
231.536380640,0
231.678102240,1
231.686286080,0
232.226822720,1
232.240476480,0
232.249385920,1
232.256776000,0
232.315430240,1
232.481444960,0
233.314680640,1
233.448952320,0
234.334948160,1
234.435294880,0
235.340070880,1
235.416783200,0
236.349621280,1
236.427597760,0
237.323229920,1
237.451593280,0
238.311086400,1
238.489883200,0
239.316545120,1
239.441481600,0
240.322294240,1
240.430856160,0
241.336926560,1
241.427896960,0
242.338668800,1
242.419752480,0
243.312029440,1
243.391754880,0
243.579952320,1
244.360221920,0
244.388429600,1
245.245595200,0
245.255930720,1
245.272529120,0
245.320708320,1
245.426171040,0
246.319242080,1
246.432041280,0
246.603737760,1
246.612615040,0
247.319125920,1
247.568104000,0
247.931552640,1
