Time [s],Channel 0
415.747447360,1
415.894231520,0
416.752950080,1
416.881404160,0
417.751968960,1
417.868644640,0
418.744919200,1
418.907325600,0
419.756901600,1
419.983623520,0
420.493707200,1
420.503886720,0
420.753862240,1
420.973254560,0
421.748712160,1
421.988417440,0
422.754095040,1
422.975085760,0
423.753347200,1
423.902859200,0
423.912466240,1
423.916356000,0
424.747833280,1
424.971565280,0
425.751299840,1
425.890978240,0
426.758995360,1
426.974725600,0
427.749872480,1
427.879153120,0
428.744033280,1
428.878382560,0
428.922594400,1
428.953632640,0
429.752922080,1
429.964064640,0
430.760359040,1
431.023471680,0
431.753361120,1
431.893435520,0
432.753241440,1
432.972183840,0
433.751315840,1
433.942949760,0
434.746425440,1
435.005981760,0
435.751237920,1
435.866874400,0
436.749734720,1
436.901886400,0
437.744896000,1
437.885859840,0
438.752018400,1
438.871152320,0
439.743289120,1
439.962504000,0
440.748826240,1
440.972094240,0
440.987584640,1
441.015627200,0
441.741674720,1
442.087619520,0
442.749241280,1
443.057808000,0
443.755376960,1
443.977406720,0
444.757475200,1
445.077262560,0
445.758676800,1
445.883188320,0
446.748882560,1
447.269755040,0
447.758843040,1
447.881868320,0
448.755985120,1
448.858133600,0
449.755850240,1
449.886157920,0
450.756938880,1
450.869729280,0
451.750450240,1
451.898688480,0
452.746462240,1
452.873087360,0
453.751449120,1
453.860893120,0
454.752874880,1
454.871389280,0
455.750690080,1
455.895414240,0
456.741384480,1
456.881285440,0
457.312782080,1
457.359822400,0
457.755190560,1
457.866934240,0
458.755368480,1
458.873217600,0
459.754089120,1
459.892840160,0
460.746463680,1
460.880371520,0
460.888517920,1
460.929836320,0
461.123367520,1
461.205964160,0
461.261278560,1
461.268299360,0
461.280447200,1
461.329821920,0
461.341922880,1
461.480169280,0
461.745374880,1
461.872961920,0
462.747244480,1
462.882943360,0
463.744894080,1
463.888701120,0
464.172676160,1
464.180195360,0
464.747644320,1
464.881464000,0
465.744631520,1
465.975842400,0
466.749021120,1
466.903144960,0
466.937460480,1
466.949930080,0
467.746177280,1
467.898835200,0
468.623333760,1
468.646829120,0
468.756233280,1
468.853358880,0
469.753263360,1
469.963781600,0
470.752523360,1
470.976801760,0
471.770970080,1
471.867720320,0
472.751338400,1
472.881308480,0
473.749848800,1
473.973539680,0
474.752636320,1
474.894247200,0
475.753933120,1
475.885689760,0
476.753876320,1
476.877494880,0
477.748940960,1
477.869850560,0
478.752732640,1
478.862632800,0
479.743873440,1
479.972821120,0
480.749538720,1
480.979802240,0
481.755561600,1
481.984998560,0
482.755931680,1
483.006964800,0
483.745253440,1
483.878615040,0
484.753774880,1
484.974594720,0
485.750619840,1
485.890601760,0
486.749240160,1
486.973542080,0
487.754782880,1
487.916766080,0
488.258466240,1
488.276292000,0
488.748974720,1
488.891456960,0
489.745978400,1
489.985961760,0
490.762321760,1
490.975419200,0
491.744001440,1
491.887177440,0
492.743070240,1
492.978356000,0
493.755537760,1
493.881848640,0
494.753824000,1
494.968205120,0
495.755683840,1
495.936045440,0
496.756809600,1
496.882776000,0
497.754078240,1
497.965040480,0
498.745272800,1
498.872183040,0
499.753819360,1
499.983018400,0
500.757166560,1
500.971169920,0
501.754612160,1
502.052489920,0
502.752077760,1
503.063562240,0
503.755037760,1
504.082794560,0
504.746321600,1
505.073593440,0
505.746617440,1
505.871402880,0
506.750811520,1
507.270050240,0
507.748757600,1
507.899531200,0
508.747456640,1
508.865779680,0
509.745717280,1
509.872538880,0
510.752865760,1
510.896128480,0
511.749001440,1
511.870032640,0
512.748450880,1
512.857550080,0
513.747647520,1
513.901094880,0
514.066988160,1
514.080459680,0
514.747073120,1
514.857980480,0
515.744187040,1
515.860452800,0
516.746071040,1
516.880432800,0
517.756633760,1
517.888537760,0
518.754170560,1
